   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Jan  7, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  11.3 and   3.04 angstrom
   cluster size= 122 atoms and spacings=  1.43  1.82  1.70  1.55 angs
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-3 =   55.8   69.7   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
  104.5    2.5188e+00    2.9304e+00   -1.4048e-01   -2.7727e-02
  107.5    2.6086e+00    2.9304e+00   -1.0981e-01   -1.1043e-01
  110.5    2.7312e+00    2.9304e+00   -6.8000e-02   -1.8209e-02
  113.5    2.8856e+00    2.9304e+00   -1.5312e-02   -7.4680e-02
  116.5    3.1107e+00    2.9304e+00    6.1516e-02   -1.4535e-02
  119.5    3.3091e+00    2.9304e+00    1.2921e-01    2.7684e-02
  122.5    3.5656e+00    2.9304e+00    2.1676e-01    3.4802e-02
  125.5    3.7786e+00    2.9304e+00    2.8945e-01    1.8772e-01
  128.5    3.9394e+00    2.9304e+00    3.4430e-01    6.0492e-02
  131.5    4.0728e+00    2.9304e+00    3.8982e-01    4.4589e-02
  134.5    4.0933e+00    2.9304e+00    3.9684e-01    1.1565e-01
  137.5    4.0036e+00    2.9304e+00    3.6623e-01    9.4334e-02
  140.5    3.8007e+00    2.9304e+00    2.9697e-01    4.0112e-02
  143.5    3.5690e+00    2.9304e+00    2.1792e-01    1.1149e-01
  146.5    3.2934e+00    2.9304e+00    1.2386e-01    6.3044e-02
  149.5    3.0659e+00    2.9304e+00    4.6226e-02    5.9340e-03
  152.5    2.8634e+00    2.9304e+00   -2.2868e-02   -3.2990e-02
  155.5    2.7167e+00    2.9304e+00   -7.2933e-02   -9.5569e-02
  158.5    2.6244e+00    2.9304e+00   -1.0443e-01   -1.0491e-01
  161.5    2.5721e+00    2.9304e+00   -1.2229e-01   -2.9579e-02
  164.5    2.5440e+00    2.9304e+00   -1.3186e-01    1.9377e-02
  167.5    2.6020e+00    2.9304e+00   -1.1209e-01   -5.5103e-02
  170.5    2.6358e+00    2.9304e+00   -1.0054e-01   -8.1432e-03
  173.5    2.6872e+00    2.9304e+00   -8.3010e-02   -2.8594e-02
  176.5    2.7580e+00    2.9304e+00   -5.8836e-02   -2.5071e-02
  179.5    2.7910e+00    2.9304e+00   -4.7565e-02   -1.0198e-02
  182.5    2.7811e+00    2.9304e+00   -5.0966e-02   -3.7186e-02
  185.5    2.7397e+00    2.9304e+00   -6.5099e-02   -5.7746e-02
  188.5    2.7053e+00    2.9304e+00   -7.6835e-02   -5.2607e-02
  191.5    2.6421e+00    2.9304e+00   -9.8389e-02   -2.1261e-02
  194.5    2.5675e+00    2.9304e+00   -1.2384e-01   -2.7727e-02
  197.5    2.5738e+00    2.9304e+00   -1.2170e-01   -1.1043e-01
  200.5    2.6066e+00    2.9304e+00   -1.1051e-01   -1.8209e-02
  203.5    2.6697e+00    2.9304e+00   -8.8964e-02   -7.4680e-02
  206.5    2.7866e+00    2.9304e+00   -4.9093e-02   -1.4535e-02
  209.5    2.9298e+00    2.9304e+00   -2.1607e-04    2.7684e-02
  212.5    3.1780e+00    2.9304e+00    8.4490e-02    3.4802e-02
  215.5    3.4087e+00    2.9304e+00    1.6321e-01    1.8772e-01
  218.5    3.6465e+00    2.9304e+00    2.4436e-01    6.0492e-02
  221.5    3.8461e+00    2.9304e+00    3.1246e-01    4.4589e-02
  224.5    3.9033e+00    2.9304e+00    3.3197e-01    1.1565e-01
  227.5    3.9560e+00    2.9304e+00    3.4997e-01    9.4334e-02
  230.5    3.9123e+00    2.9304e+00    3.3507e-01    4.0112e-02
  233.5    3.7741e+00    2.9304e+00    2.8791e-01    1.1149e-01
  236.5    3.6147e+00    2.9304e+00    2.3349e-01    6.3044e-02
  239.5    3.4047e+00    2.9304e+00    1.6185e-01    5.9340e-03
  242.5    3.1143e+00    2.9304e+00    6.2761e-02   -3.2990e-02
  245.5    2.9414e+00    2.9304e+00    3.7452e-03   -9.5569e-02
  248.5    2.7745e+00    2.9304e+00   -5.3211e-02   -1.0491e-01
  251.5    2.6127e+00    2.9304e+00   -1.0841e-01   -2.9579e-02
  254.5    2.5333e+00    2.9304e+00   -1.3552e-01    1.9377e-02
  257.5    2.4746e+00    2.9304e+00   -1.5553e-01   -5.5103e-02
  260.5    2.4325e+00    2.9304e+00   -1.6991e-01   -8.1432e-03
  263.5    2.4306e+00    2.9304e+00   -1.7058e-01   -2.8594e-02
  266.5    2.4312e+00    2.9304e+00   -1.7037e-01   -2.5071e-02
  269.5    2.4558e+00    2.9304e+00   -1.6198e-01   -1.0198e-02
  272.5    2.5400e+00    2.9304e+00   -1.3325e-01   -3.7186e-02
  275.5    2.5548e+00    2.9304e+00   -1.2817e-01   -5.7746e-02
  278.5    2.5797e+00    2.9304e+00   -1.1969e-01   -5.2607e-02
  281.5    2.6090e+00    2.9304e+00   -1.0970e-01   -2.1261e-02
  284.5    2.6328e+00    2.9304e+00   -1.0158e-01   -2.7727e-02
  287.5    2.6702e+00    2.9304e+00   -8.8802e-02   -1.1043e-01
  290.5    2.6870e+00    2.9304e+00   -8.3054e-02   -1.8209e-02
  293.5    2.7261e+00    2.9304e+00   -6.9724e-02   -7.4680e-02
  296.5    2.7719e+00    2.9304e+00   -5.4107e-02   -1.4535e-02
  299.5    2.8009e+00    2.9304e+00   -4.4217e-02    2.7684e-02
  302.5    2.9063e+00    2.9304e+00   -8.2192e-03    3.4802e-02
  305.5    2.9625e+00    2.9304e+00    1.0945e-02    1.8772e-01
  308.5    3.0719e+00    2.9304e+00    4.8287e-02    6.0492e-02
  311.5    3.1962e+00    2.9304e+00    9.0708e-02    4.4589e-02
  314.5    3.2266e+00    2.9304e+00    1.0105e-01    1.1565e-01
  317.5    3.2217e+00    2.9304e+00    9.9397e-02    9.4334e-02
  320.5    3.1480e+00    2.9304e+00    7.4257e-02    4.0112e-02
  323.5    3.0689e+00    2.9304e+00    4.7267e-02    1.1149e-01
  326.5    2.9694e+00    2.9304e+00    1.3311e-02    6.3044e-02
  329.5    2.8292e+00    2.9304e+00   -3.4546e-02    5.9340e-03
  332.5    2.7653e+00    2.9304e+00   -5.6364e-02   -3.2990e-02
  335.5    2.7285e+00    2.9304e+00   -6.8892e-02   -9.5569e-02
  338.5    2.7059e+00    2.9304e+00   -7.6610e-02   -1.0491e-01
  341.5    2.7372e+00    2.9304e+00   -6.5952e-02   -2.9579e-02
  344.5    2.7449e+00    2.9304e+00   -6.3298e-02    1.9377e-02
  347.5    2.8052e+00    2.9304e+00   -4.2748e-02   -5.5103e-02
  350.5    2.8595e+00    2.9304e+00   -2.4188e-02   -8.1432e-03
  353.5    2.9179e+00    2.9304e+00   -4.2911e-03   -2.8594e-02
  356.5    2.9253e+00    2.9304e+00   -1.7488e-03   -2.5071e-02
  359.5    2.9439e+00    2.9304e+00    4.5969e-03   -1.0198e-02
   3   120  14.31   18.0    1.0    0.0   ----------------------------
    2.5    3.5211e+00    3.5198e+00    3.5858e-04    8.1901e-02
    5.5    3.4044e+00    3.5198e+00   -3.2780e-02   -1.3487e-01
    8.5    3.2607e+00    3.5198e+00   -7.3633e-02   -1.9490e-02
