   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(100)-2p
 calculated by Yosef on Aug 26, 2024

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  15.0 and   3.90 angstrom
   cluster size= 351 atoms and spacings=  0.62  1.25  0.55  1.29 angs
   inner potential=  8.0 V  debye and sample temperature=  71, 300 K
   number of valence electrons=   8     bandgap energy=   0.00 eV
   density of bulk=   7.87 g/cm3     molecular weight= 207.33 amu
   effective weight for kind 1-4 =   55.8   87.6   47.9   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    14   434    1   14   31  434  ncurve npoint nk ntheta nphi nangle
  119.0    9.1196e-03    9.5198e-03   -4.2040e-02   -8.3227e-03
  122.0    9.5189e-03    9.5198e-03   -9.5069e-05   -4.5142e-03
  125.0    1.0375e-02    9.5198e-03    8.9818e-02   -1.8786e-03
  128.0    1.0946e-02    9.5198e-03    1.4986e-01    6.2753e-03
  131.0    1.0900e-02    9.5198e-03    1.4495e-01    1.1385e-02
   5    31  14.31   45.0    1.0    0.0   ----------------------------
   41.0    8.7447e-03    9.0876e-03   -3.7732e-02    9.6499e-03
   44.0    8.5756e-03    9.0876e-03   -5.6333e-02    9.4217e-03
   47.0    8.5320e-03    9.0876e-03   -6.1135e-02    1.5478e-03
   50.0    8.6784e-03    9.0876e-03   -4.5026e-02   -7.9220e-03
   53.0    8.8165e-03    9.0876e-03   -2.9827e-02   -1.4284e-02
   56.0    8.7482e-03    9.0876e-03   -3.7347e-02   -1.7104e-02
   59.0    8.7755e-03    9.0876e-03   -3.4338e-02   -9.4452e-03
   62.0    9.1684e-03    9.0876e-03    8.8906e-03   -1.0301e-03
   65.0    9.9139e-03    9.0876e-03    9.0928e-02    7.3621e-03
   68.0    9.8264e-03    9.0876e-03    8.1305e-02    9.3578e-03
   71.0    8.6576e-03    9.0876e-03   -4.7312e-02    9.3989e-03
   74.0    7.1638e-03    9.0876e-03   -2.1169e-01    1.3051e-03
   77.0    6.6556e-03    9.0876e-03   -2.6762e-01   -3.3701e-03
   80.0    7.4562e-03    9.0876e-03   -1.7951e-01   -4.1743e-03
   83.0    9.4187e-03    9.0876e-03    3.6433e-02    8.5349e-03
   86.0    1.1758e-02    9.0876e-03    2.9391e-01    1.1771e-02
   89.0    1.3335e-02    9.0876e-03    4.6736e-01    9.7356e-03
   92.0    1.3068e-02    9.0876e-03    4.3800e-01    5.4778e-03
   95.0    1.1122e-02    9.0876e-03    2.2387e-01   -6.3702e-03
   98.0    8.8765e-03    9.0876e-03   -2.3226e-02   -8.0644e-03
  101.0    7.1311e-03    9.0876e-03   -2.1529e-01   -8.1769e-03
  104.0    6.7464e-03    9.0876e-03   -2.5763e-01    5.6158e-04
  107.0    7.7419e-03    9.0876e-03   -1.4808e-01   -7.6727e-04
  110.0    9.2849e-03    9.0876e-03    2.1718e-02   -2.8373e-04
  113.0    9.9774e-03    9.0876e-03    9.7922e-02   -1.1060e-03
  116.0    9.6528e-03    9.0876e-03    6.2196e-02   -5.6280e-03
  119.0    9.0247e-03    9.0876e-03   -6.9185e-03   -5.4558e-03
  122.0    8.7559e-03    9.0876e-03   -3.6497e-02   -4.1155e-03
  125.0    8.7188e-03    9.0876e-03   -4.0582e-02    5.8680e-03
  128.0    8.7221e-03    9.0876e-03   -4.0221e-02    4.9522e-03
  131.0    8.6677e-03    9.0876e-03   -4.6205e-02    2.3497e-03
   6    31  14.31   48.0    1.0    0.0   ----------------------------
   41.0    7.0093e-03    8.4258e-03   -1.6812e-01    4.4107e-03
   44.0    7.0657e-03    8.4258e-03   -1.6143e-01    4.5571e-04
   47.0    7.0582e-03    8.4258e-03   -1.6232e-01   -6.2794e-04
   50.0    7.0147e-03    8.4258e-03   -1.6747e-01    1.7697e-04
   53.0    7.0327e-03    8.4258e-03   -1.6534e-01   -3.4099e-04
   56.0    7.4963e-03    8.4258e-03   -1.1032e-01   -1.5199e-03
   59.0    8.0679e-03    8.4258e-03   -4.2480e-02   -1.6011e-03
   62.0    8.6080e-03    8.4258e-03    2.1618e-02   -7.3124e-04
   65.0    9.1222e-03    8.4258e-03    8.2646e-02   -1.4101e-03
   68.0    8.8743e-03    8.4258e-03    5.3230e-02   -2.4945e-03
   71.0    7.7448e-03    8.4258e-03   -8.0828e-02   -7.3407e-03
   74.0    6.5224e-03    8.4258e-03   -2.2590e-01   -3.6318e-03
   77.0    6.2892e-03    8.4258e-03   -2.5359e-01   -3.7120e-03
   80.0    7.2146e-03    8.4258e-03   -1.4375e-01   -2.3172e-03
   83.0    9.7623e-03    8.4258e-03    1.5862e-01    3.2948e-04
   86.0    1.2738e-02    8.4258e-03    5.1177e-01    8.1627e-03
   89.0    1.4969e-02    8.4258e-03    7.7658e-01    1.6428e-02
   92.0    1.4107e-02    8.4258e-03    6.7427e-01    9.5016e-03
   95.0    1.1853e-02    8.4258e-03    4.0671e-01    1.4639e-03
   98.0    8.7303e-03    8.4258e-03    3.6141e-02   -5.1703e-04
  101.0    6.8647e-03    8.4258e-03   -1.8528e-01    3.9899e-03
  104.0    6.2416e-03    8.4258e-03   -2.5923e-01    1.2036e-03
  107.0    6.9110e-03    8.4258e-03   -1.7978e-01   -1.0791e-03
  110.0    8.2115e-03    8.4258e-03   -2.5439e-02   -7.3283e-03
  113.0    9.0973e-03    8.4258e-03    7.9687e-02   -6.0139e-03
  116.0    8.9362e-03    8.4258e-03    6.0573e-02   -7.2824e-03
  119.0    8.4177e-03    8.4258e-03   -9.6017e-04   -6.4811e-03
  122.0    7.7854e-03    8.4258e-03   -7.6005e-02   -7.1728e-03
  125.0    7.3006e-03    8.4258e-03   -1.3355e-01    1.5359e-03
  128.0    7.0901e-03    8.4258e-03   -1.5852e-01    6.8638e-03
  131.0    7.0646e-03    8.4258e-03   -1.6155e-01    7.0845e-03
   7    31  14.31   51.0    1.0    0.0   ----------------------------
   41.0    8.9955e-03    9.0014e-03   -6.5398e-04    6.2145e-04
   44.0    9.5909e-03    9.0014e-03    6.5491e-02    1.5913e-03
   47.0    9.6901e-03    9.0014e-03    7.6513e-02    4.7454e-03
   50.0    9.1238e-03    9.0014e-03    1.3591e-02    2.5249e-03
   53.0    7.8390e-03    9.0014e-03   -1.2914e-01    1.3933e-04
   56.0    7.1444e-03    9.0014e-03   -2.0631e-01   -6.0418e-03
   59.0    7.6864e-03    9.0014e-03   -1.4609e-01    1.3383e-04
   62.0    8.6517e-03    9.0014e-03   -3.8855e-02   -2.4259e-03
   65.0    8.9072e-03    9.0014e-03   -1.0468e-02   -1.1211e-03
   68.0    8.4066e-03    9.0014e-03   -6.6086e-02   -5.5489e-03
   71.0    7.6338e-03    9.0014e-03   -1.5194e-01   -5.9671e-03
   74.0    6.8395e-03    9.0014e-03   -2.4018e-01   -1.0190e-02
